time;position;velocity;reward;puff;CTRL;Cloud;Switch_ID;teleport;port_A;port_B;port_C;Trigger;optoport;Systime;Keyboard;
1,27;-594,5501;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.7260902;NONE;
1,28;-594,5501;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.7361164;NONE;
1,29;-594,5501;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.7448724;NONE;
1,3;-594,5501;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.7637186;NONE;
1,31;-594,5501;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.7734701;NONE;
1,32;-594,5501;2;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.7830974;NONE;
1,33;-594,3101;4;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.7926711;NONE;
1,34;-593,8301;40;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.8025926;NONE;
1,35;-589,0302;78;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.8126367;NONE;
1,36;-579,6702;101;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.8230339;NONE;
1,37;-567,5502;75;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.8331588;NONE;
1,38;-558,5502;90;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.8427494;NONE;
1,39;-547,7502;163;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.8527819;NONE;
1,4;-528,1902;128;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.8630427;NONE;
1,41;-512,8302;84;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.8723271;NONE;
1,42;-502,7502;51;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.8822823;NONE;
1,43;-496,6302;8;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.8921947;NONE;
1,44;-495,6702;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.9016394;NONE;
1,45;-495,6702;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.9108057;NONE;
1,46;-495,6702;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.9195797;NONE;
1,47;-495,6702;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.9291190;NONE;
1,48;-495,6702;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.9398779;NONE;
1,49;-495,6702;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.9482070;NONE;
1,5;-495,6702;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.9586180;NONE;
1,51;-495,6702;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.9674019;NONE;
1,52;-495,6702;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.9774307;NONE;
1,53;-495,6702;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.9872513;NONE;
1,54;-495,6702;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:53.9962936;NONE;
1,55;-495,6702;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:54.0060137;NONE;
1,56;-495,6702;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:54.0150649;NONE;
1,57;-495,6702;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:54.0342373;NONE;
1,58;-495,6702;1;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:54.0435829;NONE;
1,59;-495,5502;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:54.0533634;NONE;
1,6;-495,5502;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:54.0626396;NONE;
1,61;-495,5502;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:54.0727081;NONE;
1,62;-495,5502;0;0;0;0;1;8;0;0;0;0;0;0;2024-03-04 13:05:54.0819315;NONE;
